2.759	1.565	0	1.588	2.369	2.38	1.573	1.94	0	1.967	2.357	1.94	1.955	0	0.379	2.759	0	0.792	1.952	0	1.99	2.342	1.573	0.39	0.417	
1.565	5.161	0.558	3.396	3.867	3.314	2.031	2.762	0	4.148	2.968	2.827	3.731	0	0.379	3.282	0	1.652	2.924	0	3.834	2.383	3.13	0.39	0.417	
0	0.558	2.911	0.558	0.558	0	0	0	0	0	0.558	0	0	1.443	0	0	0.91	0	0	0.91	0	0	0.558	0	0	
1.588	3.396	0.558	3.798	3.018	2.785	1.561	1.966	0	2.838	2.536	2.031	2.421	0	0	2.433	0	1.599	1.978	0	2.471	2.406	1.767	0.39	0.417	
2.369	3.867	0.558	3.018	5.478	3.631	2.835	2.774	0.417	3.673	3.397	3.646	3.244	0	0.379	4.113	0	1.274	3.214	0	4.541	3.214	4.227	0	0.417	
2.38	3.314	0	2.785	3.631	inf	3.187	3.592	0.417	4.55	3.202	3.202	4.121	0	0	4.021	0	1.599	3.284	0	4.573	3.577	3.766	0.807	0.417	
1.573	2.031	0	1.561	2.835	3.187	3.642	2.785	0	2.395	2.433	1.978	2.383	0	0	3.252	0	1.247	2.808	0	3.263	2.77	2.873	0.417	0	
1.94	2.762	0	1.966	2.774	3.592	2.785	inf	0	3.581	2.345	3.164	3.152	0	0.379	3.164	0	1.197	2.747	0	3.202	3.137	2.812	0.807	0	
0	0	0	0	0.417	0.417	0	0	0.417	0.417	0.417	0.417	0.417	0	0	0.417	0	0	0	0	0.417	0.417	0.417	0	0	
1.967	4.148	0	2.838	3.673	4.55	2.395	3.581	0.417	5.384	2.789	3.646	4.565	0	0.379	4.063	0	1.197	2.871	0	4.615	3.619	3.353	0.807	0.417	
2.357	2.968	0.558	2.536	3.397	3.202	2.433	2.345	0.417	2.789	4.594	1.955	3.179	0	0.379	4.036	0	1.637	2.395	0	3.267	3.164	3.018	0.807	0.417	
1.94	2.827	0	2.031	3.646	3.202	1.978	3.164	0.417	3.646	1.955	5.479	3.217	0	0.379	3.229	0	0.807	2.357	0	3.267	3.202	4.255	0.39	0	
1.955	3.731	0	2.421	3.244	4.121	2.383	3.152	0.417	4.565	3.179	3.217	4.955	0	0.379	4.051	0	0.78	2.442	0	4.186	3.607	2.924	0.807	0.417	
0	0	1.443	0	0	0	0	0	0	0	0	0	0	inf	0	0	0	0.91	0	0.91	0	0	0	0	0	
0.379	0.379	0	0	0.379	0	0	0.379	0	0.379	0.379	0.379	0.379	0	0.379	0.379	0	0	0.379	0	0.379	0.379	0.379	0	0	
2.759	3.282	0	2.433	4.113	4.021	3.252	3.164	0.417	4.063	4.036	3.229	4.051	0	0.379	5.31	0	1.637	2.797	0	4.541	4.021	3.279	0.807	0.417	
0	0	0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91	0	0	0.91	0	0	0	0	0	
0.792	1.652	0	1.599	1.274	1.599	1.247	1.197	0	1.197	1.637	0.807	0.78	0.91	0	1.637	0	2.964	1.664	0.91	1.664	1.182	1.274	0.39	0	
1.952	2.924	0	1.978	3.214	3.284	2.808	2.747	0	2.871	2.395	2.357	2.442	0	0.379	2.797	0	1.664	inf	0	3.739	2.732	3.349	0	0	
0	0	0.91	0	0	0	0	0	0	0	0	0	0	0.91	0	0	0.91	0.91	0	1.82	0	0	0	0	0	
1.99	3.834	0	2.471	4.541	4.573	3.263	3.202	0.417	4.615	3.267	3.267	4.186	0	0.379	4.541	0	1.664	3.739	0	5.862	3.642	4.6	0.417	0.417	
2.342	2.383	0	2.406	3.214	3.577	2.77	3.137	0.417	3.619	3.164	3.202	3.607	0	0.379	4.021	0	1.182	2.732	0	3.642	4.411	2.797	0.807	0	
1.573	3.13	0.558	1.767	4.227	3.766	2.873	2.812	0.417	3.353	3.018	4.255	2.924	0	0.379	3.279	0	1.274	3.349	0	4.6	2.797	6.601	0.417	0	
0.39	0.39	0	0.39	0	0.807	0.417	0.807	0	0.807	0.807	0.39	0.807	0	0	0.807	0	0.39	0	0	0.417	0.807	0.417	0.807	0	
0.417	0.417	0	0.417	0.417	0.417	0	0	0	0.417	0.417	0	0.417	0	0	0.417	0	0	0	0	0.417	0	0	0	0.417	
