1	0.267	0	0.333	0.429	0.4	0.333	0.385	0	0.333	0.5	0.385	0.357	0	0.143	0.538	0	0.182	0.385	0	0.313	0.5	0.25	0.125	0.143	
0.267	1	0.071	0.615	0.563	0.444	0.313	0.438	0	0.667	0.438	0.438	0.6	0	0.083	0.471	0	0.286	0.438	0	0.529	0.353	0.389	0.077	0.083	
0	0.071	1	0.091	0.067	0	0	0	0	0	0.077	0	0	0.2	0	0	0.333	0	0	0.25	0	0	0.067	0	0	
0.333	0.615	0.091	1	0.467	0.438	0.286	0.333	0	0.467	0.429	0.333	0.4	0	0	0.375	0	0.364	0.333	0	0.353	0.429	0.222	0.1	0.111	
0.429	0.563	0.067	0.467	1	0.5	0.467	0.412	0.077	0.529	0.5	0.6	0.471	0	0.077	0.625	0	0.188	0.5	0	0.688	0.5	0.625	0	0.077	
0.4	0.444	0	0.438	0.5	1	0.533	0.563	0.071	0.688	0.471	0.471	0.625	0	0	0.588	0	0.25	0.471	0	0.647	0.563	0.5	0.143	0.071	
0.333	0.313	0	0.286	0.467	0.533	1	0.538	0	0.375	0.429	0.333	0.4	0	0	0.571	0	0.25	0.538	0	0.533	0.538	0.467	0.1	0	
0.385	0.438	0	0.333	0.412	0.563	0.538	1	0	0.6	0.375	0.571	0.533	0	0.091	0.5	0	0.214	0.467	0	0.471	0.571	0.412	0.182	0	
0	0	0	0	0.077	0.071	0	0	1	0.077	0.091	0.091	0.083	0	0	0.077	0	0	0	0	0.071	0.091	0.077	0	0	
0.333	0.667	0	0.467	0.529	0.688	0.375	0.6	0.077	1	0.412	0.6	0.786	0	0.077	0.625	0	0.188	0.412	0	0.688	0.6	0.444	0.154	0.077	
0.5	0.438	0.077	0.429	0.5	0.471	0.429	0.375	0.091	0.412	1	0.294	0.533	0	0.091	0.714	0	0.308	0.375	0	0.471	0.571	0.412	0.182	0.091	
0.385	0.438	0	0.333	0.6	0.471	0.333	0.571	0.091	0.6	0.294	1	0.533	0	0.091	0.5	0	0.133	0.375	0	0.471	0.571	0.5	0.083	0	
0.357	0.6	0	0.4	0.471	0.625	0.4	0.533	0.083	0.786	0.533	0.533	1	0	0.083	0.667	0	0.125	0.353	0	0.625	0.643	0.389	0.167	0.083	
0	0	0.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.125	0	0.25	0	0	0	0	0	
0.143	0.083	0	0	0.077	0	0	0.091	0	0.077	0.091	0.091	0.083	0	1	0.077	0	0	0.091	0	0.071	0.091	0.077	0	0	
0.538	0.471	0	0.375	0.625	0.588	0.571	0.5	0.077	0.625	0.714	0.5	0.667	0	0.077	1	0	0.267	0.412	0	0.688	0.714	0.444	0.154	0.077	
0	0	0.333	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.5	0	0	0	0	0	
0.182	0.286	0	0.364	0.188	0.25	0.25	0.214	0	0.188	0.308	0.133	0.125	0.125	0	0.267	0	1	0.308	0.143	0.25	0.214	0.188	0.143	0	
0.385	0.438	0	0.333	0.5	0.471	0.538	0.467	0	0.412	0.375	0.375	0.353	0	0.091	0.412	0	0.308	1	0	0.563	0.467	0.5	0	0	
0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.5	0.143	0	1	0	0	0	0	0	
0.313	0.529	0	0.353	0.688	0.647	0.533	0.471	0.071	0.688	0.471	0.471	0.625	0	0.071	0.688	0	0.25	0.563	0	1	0.563	0.688	0.067	0.071	
0.5	0.353	0	0.429	0.5	0.563	0.538	0.571	0.091	0.6	0.571	0.571	0.643	0	0.091	0.714	0	0.214	0.467	0	0.563	1	0.412	0.182	0	
0.25	0.389	0.067	0.222	0.625	0.5	0.467	0.412	0.077	0.444	0.412	0.5	0.389	0	0.077	0.444	0	0.188	0.5	0	0.688	0.412	1	0.071	0	
0.125	0.077	0	0.1	0	0.143	0.1	0.182	0	0.154	0.182	0.083	0.167	0	0	0.154	0	0.143	0	0	0.067	0.182	0.071	1	0	
0.143	0.083	0	0.111	0.077	0.071	0	0	0	0.077	0.091	0	0.083	0	0	0.077	0	0	0	0	0.071	0	0	0	1	
